CORE_2020 stock names,Ingeman_DataRequst.xlsx,SRSS_returns_all_cols_2018.xls,
Bear Valley Creek,Spring/Summer-run,Spring,
Big Creek,Spring/Summer-run,Spring/summer,
Camas Creek,Spring/Summer-run,Spring/summer,
Catherine Creek,,Spring,
Chamberlain Creek,Spring/Summer-run,Spring,
East Fork Salmon River,Spring/Summer-run,Spring/summer,
East Fork South Fork,,,
Grande Ronde Upper Mainstem,,Spring,
Imnaha River,,Spring/summer,
Lemhi River,Spring/Summer-run,Spring,
Loon Creek,Spring/Summer-run,Spring/summer,
Marsh Creek,Spring/Summer-run,Spring,
Middle Fork Salmon River above Indian Creek,Spring/Summer-run,Spring,
Middle Fork Salmon River below Indian Creek,Spring/Summer-run,Spring/summer,
Minam River,,Spring,
North Fork Salmon River,,Spring,
Pahsimeroi River,Spring/Summer-run,,Summer
Salmon River Lower Mainstem below Redfish Lake,Spring/Summer-run,Spring/summer,
Salmon River Upper Mainstem above Redfish Lake,Spring/Summer-run,Spring,
Secesh River,,,
South Fork Salmon River Mainstem,Spring/Summer-run,,Summer
Sulphur Creek,Spring/Summer-run,Spring,
Tucannon River,,Spring,
Valley Creek,Spring/Summer-run,Spring/summer,
"Wallowa River, Hurricane Creek, Bear Creek, and Lostine Rivers",,Spring,
Wenaha River,,Spring,
Yankee Fork,Spring/Summer-run,Spring,
